"id","dtc_code","dtc_description"
"1410","P2438","Secondary Air Injection System Air Flow/Pressure Sensor Circuit High"
"1411","P2439","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Erratic"
"1412","P2440","Secondary Air Injection System Switching Valve Stuck Open"
"1413","P2441","Secondary Air Injection System Switching Valve Stuck Closed"
"1414","P2442","Secondary Air Injection System Switching Valve Stuck Open"
"1415","P2443","Secondary Air Injection System Switching Valve Stuck Closed"
"1416","P2444","Secondary Air Injection System Pump Stuck On"
"1417","P2445","Secondary Air Injection System Pump Stuck Off"
"1418","P2446","Secondary Air Injection System Pump Stuck On"
"1419","P2447","Secondary Air Injection System Pump Stuck Off"
"1420","P2500","Generator Lamp/L-Terminal Circuit Low"
"1421","P2501","Generator Lamp/L-Terminal Circuit High"
"1422","P2502","Charging System Voltage"
"1423","P2503","Charging System Voltage Low"
"1424","P2504","Charging System Voltage High"
"1425","P2505","ECM/PCM Power Input Signal"
"1426","P2506","ECM/PCM Power Input Signal Range/Performance"
"1427","P2507","ECM/PCM Power Input Signal Low"
"1428","P2508","ECM/PCM Power Input Signal High"
"1429","P2509","ECM/PCM Power Input Signal Intermittent"
"1430","P2510","ECM/PCM Power Relay Sense Circuit Range/Performance"
"1431","P2511","ECM/PCM Power Relay Sense Circuit Intermittent"
"1432","P2512","Event Data Recorder Request Circuit/ Open"
"1433","P2513","Event Data Recorder Request Circuit Low"
"1434","P2514","Event Data Recorder Request Circuit High"
"1435","P2515","A/C Refrigerant Pressure Sensor B Circuit"
"1436","P2516","A/C Refrigerant Pressure Sensor B Circuit Range/Performance"
"1437","P2517","A/C Refrigerant Pressure Sensor B Circuit Low"
"1438","P2518","A/C Refrigerant Pressure Sensor B Circuit High"
"1439","P2519","A/C Request A Circuit"
"1440","P2520","A/C Request A Circuit Low"
"1441","P2521","A/C Request A Circuit High"
"1442","P2522","A/C Request B Circuit"
"1443","P2523","A/C Request B Circuit Low"
"1444","P2524","A/C Request B Circuit High"
"1445","P2525","Vacuum Reservoir Pressure Sensor Circuit"
"1446","P2526","Vacuum Reservoir Pressure Sensor Circuit Range/Performance"
"1447","P2527","Vacuum Reservoir Pressure Sensor Circuit Low"
"1448","P2528","Vacuum Reservoir Pressure Sensor Circuit High"
"1449","P2529","Vacuum Reservoir Pressure Sensor Circuit Intermittent"
"1450","P2530","Ignition Switch Run Position Circuit"
"1451","P2531","Ignition Switch Run Position Circuit Low"
"1452","P2532","Ignition Switch Run Position Circuit High"
"1453","P2533","Ignition Switch Run/Start Position Circuit"
"1454","P2534","Ignition Switch Run/Start Position Circuit Low"
"1455","P2535","Ignition Switch Run/Start Position Circuit High"
"1456","P2536","Ignition Switch Accessory Position Circuit"
"1457","P2537","Ignition Switch Accessory Position Circuit Low"
"1458","P2538","Ignition Switch Accessory Position Circuit High"
"1459","P2539","Low Pressure Fuel System Sensor Circuit"
"1460","P2540","Low Pressure Fuel System Sensor Circuit Range/Performance"
"1461","P2541","Low Pressure Fuel System Sensor Circuit Low"
"1462","P2542","Low Pressure Fuel System Sensor Circuit High"
"1463","P2543","Low Pressure Fuel System Sensor Circuit Intermittent"
"1464","P2544","Torque Management Request Input Signal A"
"1465","P2545","Torque Management Request Input Signal A Range/Performance"
"1466","P2546","Torque Management Request Input Signal A Low"
"1467","P2547","Torque Management Request Input Signal A High"
"1468","P2548","Torque Management Request Input Signal B"
"1469","P2549","Torque Management Request Input Signal B Range/Performance"
"1470","P2550","Torque Management Request Input Signal B Low"
"1471","P2551","Torque Management Request Input Signal B High"
"1472","P2552","Throttle/Fuel Inhibit Circuit"
"1473","P2553","Throttle/Fuel Inhibit Circuit Range/Performance"
"1474","P2554","Throttle/Fuel Inhibit Circuit Low"
"1475","P2555","Throttle/Fuel Inhibit Circuit High"
"1476","P2556","Engine Coolant Level Sensor/Switch Circuit"
"1477","P2557","Engine Coolant Level Sensor/Switch Circuit Range/Performance"
"1478","P2558","Engine Coolant Level Sensor/Switch Circuit Low"
"1479","P2559","Engine Coolant Level Sensor/Switch Circuit High"
"1480","P2560","Engine Coolant Level Low"
"1481","P2561","A/C Control Module Requested MIL Illumination"
"1482","P2562","Turbocharger Boost Control Position Sensor Circuit"
"1483","P2563","Turbocharger Boost Control Position Sensor Circuit Range/Performance"
"1484","P2564","Turbocharger Boost Control Position Sensor Circuit Low"
"1485","P2565","Turbocharger Boost Control Position Sensor Circuit High"
"1486","P2566","Turbocharger Boost Control Position Sensor Circuit Intermittent"
"1487","P2567","Direct Ozone Reduction Catalyst Temperature Sensor Circuit"
"1488","P2568","Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance"
"1489","P2569","Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low"
"1490","P2570","Direct Ozone Reduction Catalyst Temperature Sensor Circuit High"
"1491","P2571","Direct Ozone Reduction Catalyst Temperature Sensor Circuit Intermittent/Erratic"
"1492","P2572","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit"
"1493","P2573","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Range/Performance"
"1494","P2574","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low"
"1495","P2575","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High"
"1496","P2576","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Intermittent/Erratic"
"1497","P2577","Direct Ozone Reduction Catalyst Efficiency Below Threshold"
"1498","P2600","Coolant Pump Control Circuit/Open"
"1499","P2601","Coolant Pump Control Circuit Range/Performance"
"1500","P2602","Coolant Pump Control Circuit Low"
"1501","P2603","Coolant Pump Control Circuit High"
"1502","P2604","Intake Air Heater A Circuit Range/Performance"
"1503","P2605","Intake Air Heater A Circuit/Open"
"1504","P2606","Intake Air Heater B Circuit Range/Performance"
"1505","P2607","Intake Air Heater B Circuit Low"
"1506","P2608","Intake Air Heater B Circuit High"
"1507","P2609","Intake Air Heater System Performance"
"1508","P2610","ECM/PCM Internal Engine Off Timer Performance"
"1509","P2611","A/C Refrigerant Distribution Valve Control Circuit/Open"
"1510","P2612","A/C Refrigerant Distribution Valve Control Circuit Low"
"1511","P2613","A/C Refrigerant Distribution Valve Control Circuit High"
"1512","P2614","Camshaft Position Signal Output Circuit/Open"
"1513","P2615","Camshaft Position Signal Output Circuit Low"
"1514","P2616","Camshaft Position Signal Output Circuit High"
"1515","P2617","Crankshaft Position Signal Output Circuit/Open"
"1516","P2618","Crankshaft Position Signal Output Circuit Low"
"1517","P2619","Crankshaft Position Signal Output Circuit High"
"1518","P2620","Throttle Position Output Circuit/Open"
"1519","P2621","Throttle Position Output Circuit Low"
"1520","P2622","Throttle Position Output Circuit High"
"1521","P2623","Injector Control Pressure Regulator Circuit/Open"
"1522","P2624","Injector Control Pressure Regulator Circuit Low"
"1523","P2625","Injector Control Pressure Regulator Circuit High"
"1524","P2626","O2 Sensor Pumping Current Trim Circuit/Open"
"1525","P2627","O2 Sensor Pumping Current Trim Circuit Low"
"1526","P2628","O2 Sensor Pumping Current Trim Circuit High"
"1527","P2629","O2 Sensor Pumping Current Trim Circuit/Open"
"1528","P2630","O2 Sensor Pumping Current Trim Circuit Low"
"1529","P2631","O2 Sensor Pumping Current Trim Circuit High"
"1530","P2632","Fuel Pump B Control Circuit /Open"
"1531","P2633","Fuel Pump B Control Circuit Low"
"1532","P2634","Fuel Pump B Control Circuit High"
"1533","P2635","Fuel Pump A Low Flow / Performance"
"1534","P2636","Fuel Pump B Low Flow / Performance"
"1535","P2637","Torque Management Feedback Signal A"
"1536","P2638","Torque Management Feedback Signal A Range/Performance"
"1537","P2639","Torque Management Feedback Signal A Low"
"1538","P2640","Torque Management Feedback Signal A High"
"1539","P2641","Torque Management Feedback Signal B"
"1540","P2642","Torque Management Feedback Signal B Range/Performance"
"1541","P2643","Torque Management Feedback Signal B Low"
"1542","P2644","Torque Management Feedback Signal B High"
"1543","P2645","A Rocker Arm Actuator Control Circuit/Open"
"1544","P2646","A Rocker Arm Actuator System Performance or Stuck Off"
"1545","P2647","A Rocker Arm Actuator System Stuck On"
"1546","P2648","A Rocker Arm Actuator Control Circuit Low"
"1547","P2649","A Rocker Arm Actuator Control Circuit High"
"1548","P2650","B Rocker Arm Actuator Control Circuit/Open"
"1549","P2651","B Rocker Arm Actuator System Performance or Stuck Off"
"1550","P2652","B Rocker Arm Actuator System Stuck On"
"1551","P2653","B Rocker Arm Actuator Control Circuit Low"
"1552","P2654","B Rocker Arm Actuator Control Circuit High"
"1553","P2655","A Rocker Arm Actuator Control Circuit/Open"
"1554","P2656","A Rocker Arm Actuator System Performance or Stuck Off"
"1555","P2657","A Rocker Arm Actuator System Stuck On"
"1556","P2658","A Rocker Arm Actuator Control Circuit Low"
"1557","P2659","A Rocker Arm Actuator Control Circuit High"
"1558","P2660","B Rocker Arm Actuator Control Circuit/Open"
"1559","P2661","B Rocker Arm Actuator System Performance or Stuck Off"
"1560","P2662","B Rocker Arm Actuator System Stuck On"
"1561","P2663","B Rocker Arm Actuator Control Circuit Low"
"1562","P2664","B Rocker Arm Actuator Control Circuit High"
"1563","P2665","Fuel Shutoff Valve B Control Circuit/Open"
"1564","P2666","Fuel Shutoff Valve B Control Circuit Low"
"1565","P2667","Fuel Shutoff Valve B Control Circuit High"
"1566","P2668","Fuel Mode Indicator Lamp Control Circuit"
"1567","P2669","Actuator Supply Voltage B Circuit /Open"
"1568","P2670","Actuator Supply Voltage B Circuit Low"
"1569","P2671","Actuator Supply Voltage B Circuit High"
"1570","P2700","Transmission Friction Element A Apply Time Range/Performance"
"1571","P2701","Transmission Friction Element B Apply Time Range/Performance"
"1572","P2702","Transmission Friction Element C Apply Time Range/Performance"
"1573","P2703","Transmission Friction Element D Apply Time Range/Performance"
"1574","P2704","Transmission Friction Element E Apply Time Range/Performance"
"1575","P2705","Transmission Friction Element F Apply Time Range/Performance"
"1576","P2706","Shift Solenoid F"
"1577","P2707","Shift Solenoid F Performance or Stuck Off"
"1578","P2708","Shift Solenoid F Stuck On"
"1579","P2709","Shift Solenoid F Electrical"
"1580","P2710","Shift Solenoid F Intermittent"
"1581","P2711","Unexpected Mechanical Gear Disengagement"
"1582","P2712","Hydraulic Power Unit Leakage"
"1583","P2713","Pressure Control Solenoid D"
"1584","P2714","Pressure Control Solenoid D Performance or Stuck Off"
"1585","P2715","Pressure Control Solenoid D Stuck On"
"1586","P2716","Pressure Control Solenoid D Electrical"
"1587","P2717","Pressure Control Solenoid D Intermittent"
"1588","P2718","Pressure Control Solenoid D Control Circuit / Open"
"1589","P2719","Pressure Control Solenoid D Control Circuit Range/Performance"
"1590","P2720","Pressure Control Solenoid D Control Circuit Low"
"1591","P2721","Pressure Control Solenoid D Control Circuit High"
"1592","P2722","Pressure Control Solenoid E"
"1593","P2723","Pressure Control Solenoid E Performance or Stuck Off"
"1594","P2724","Pressure Control Solenoid E Stuck On"
"1595","P2725","Pressure Control Solenoid E Electrical"
"1596","P2726","Pressure Control Solenoid E Intermittent"
"1597","P2727","Pressure Control Solenoid E Control Circuit / Open"
"1598","P2728","Pressure Control Solenoid E Control Circuit Range/Performance"
"1599","P2729","Pressure Control Solenoid E Control Circuit Low"
"1600","P2730","Pressure Control Solenoid E Control Circuit High"
"1601","P2731","Pressure Control Solenoid F"
"1602","P2732","Pressure Control Solenoid F Performance or Stuck Off"
"1603","P2733","Pressure Control Solenoid F Stuck On"
"1604","P2734","Pressure Control Solenoid F Electrical"
"1605","P2735","Pressure Control Solenoid F Intermittent"
"1606","P2736","Pressure Control Solenoid F Control Circuit/Open"
"1607","P2737","Pressure Control Solenoid F Control Circuit Range/Performance"
"1608","P2738","Pressure Control Solenoid F Control Circuit Low"
"1609","P2739","Pressure Control Solenoid F Control Circuit High"
"1610","P2740","Transmission Fluid Temperature Sensor B Circuit"
"1611","P2741","Transmission Fluid Temperature Sensor B Circuit Range Performance"
"1612","P2742","Transmission Fluid Temperature Sensor B Circuit Low"
"1613","P2743","Transmission Fluid Temperature Sensor B Circuit High"
"1614","P2744","Transmission Fluid Temperature Sensor B Circuit Intermittent"
"1615","P2745","Intermediate Shaft Speed Sensor B Circuit"
"1616","P2746","Intermediate Shaft Speed Sensor B Circuit Range/Performance"
"1617","P2747","Intermediate Shaft Speed Sensor B Circuit No Signal"
"1618","P2748","Intermediate Shaft Speed Sensor B Circuit Intermittent"
"1619","P2749","Intermediate Shaft Speed Sensor C Circuit"
"1620","P2750","Intermediate Shaft Speed Sensor C Circuit Range/Performance"
"1621","P2751","Intermediate Shaft Speed Sensor C Circuit No Signal"
"1622","P2752","Intermediate Shaft Speed Sensor C Circuit Intermittent"
"1623","P2753","Transmission Fluid Cooler Control Circuit/Open"
"1624","P2754","Transmission Fluid Cooler Control Circuit Low"
"1625","P2755","Transmission Fluid Cooler Control Circuit High"
"1626","P2756","Torque Converter Clutch Pressure Control Solenoid"
"1627","Torque","Converter Clutch Pressure Control Solenoid Control Circuit Performance or"
"1628","P2757","Stuck Off"
"1629","P2758","Torque Converter Clutch Pressure Control Solenoid Control Circuit Stuck On"
"1630","P2759","Torque Converter Clutch Pressure Control Solenoid Control Circuit Electrical"
"1631","P2760","Torque Converter Clutch Pressure Control Solenoid Control Circuit Intermittent"
"1632","P2761","Torque Converter Clutch Pressure Control Solenoid Control Circuit/Open"
"1633","P2762","Range/Performance"
"1634","P2763","Torque Converter Clutch Pressure Control Solenoid Control Circuit High"
"1635","P2764","Torque Converter Clutch Pressure Control Solenoid Control Circuit Low"
"1636","P2765","Input/Turbine Speed Sensor B Circuit"
"1637","P2766","Input/Turbine Speed Sensor B Circuit Range/Performance"
"1638","P2767","Input/Turbine Speed Sensor B Circuit No Signal"
"1639","P2768","Input/Turbine Speed Sensor B Circuit Intermittent"
"1640","P2769","Torque Converter Clutch Circuit Low"
"1641","P2770","Torque Converter Clutch Circuit High"
"1642","P2771","Four Wheel Drive (4WD) Low Switch Circuit"
"1643","P2772","Four Wheel Drive (4WD) Low Switch Circuit Range/Performance"
"1644","P2773","Four Wheel Drive (4WD) Low Switch Circuit Low"
"1645","P2774","Four Wheel Drive (4WD) Low Switch Circuit High"
"1646","P2775","Upshift Switch Circuit Range/Performance"
"1647","P2776","Upshift Switch Circuit Low"
"1648","P2777","Upshift Switch Circuit High"
"1649","P2778","Upshift Switch Circuit Intermittent/Erratic"
"1650","P2779","Downshift Switch Circuit Range/Performance"
"1651","P2780","Downshift Switch Circuit Low"
"1652","P2781","Downshift Switch Circuit High"
"1653","P2782","Downshift Switch Circuit Intermittent/Erratic"
"1654","P2783","Torque Converter Temperature Too High"
"1655","P2784","Input/Turbine Speed Sensor A/B Correlation"
"1656","P2785","Clutch Actuator Temperature Too High"
"1657","P2786","Gear Shift Actuator Temperature Too High"
"1658","P2787","Clutch Temperature Too High"
"1659","P2788","Auto Shift Manual Adaptive Learning at Limit"
"1660","P2789","Clutch Adaptive Learning at Limit"
"1661","P2790","Gate Select Direction Circuit"
"1662","P2791","Gate Select Direction Circuit Low"
"1663","P2792","Gate Select Direction Circuit High"
"1664","P2793","Gear Shift Direction Circuit"
"1665","P2794","Gear Shift Direction Circuit Low"
"1666","P2795","Gear Shift Direction Circuit High"
"1667","P2A00","O2 Sensor Circuit Range/Performance"
"1668","P2A01","O2 Sensor Circuit Range/Performance"
"1669","P2A02","O2 Sensor Circuit Range/Performance"
